mtWmPoiId,shopName,categoryName,spuName,spuId,saleVolume,originPrice,currentPrice,spuDesc,praiseNum,boxFee,skuPromotionInfo
975890765127073,绝味烤鱼、烧烤,热销,烤五花肉,1207027121,15112,4.0,2.6,采用高端锡纸包装，会有几毛包装费用,57,0.2,6.5折 限10份
975890765127073,绝味烤鱼、烧烤,热销,私家秘制烤鸡翅,1207065499,13704,7.5,5.25,采用高端锡纸包装，会有几毛包装费用,82,0.2,7折 限10份
975890765127073,绝味烤鱼、烧烤,热销,烤牛肉串,1207025601,12910,3.5,2.35,,51,0.2,6.71折 限10份
975890765127073,绝味烤鱼、烧烤,热销,金针菇,466174193,12559,2.0,0.6,,58,0.22,3折 限3份
975890765127073,绝味烤鱼、烧烤,热销,四季豆,466174190,12064,2.0,0.6,采用高端锡纸包装。会收几毛餐盒费。谢谢理解,30,0.4,3折 限3份
975890765127073,绝味烤鱼、烧烤,热销,黄瓜,466173207,9161,2.0,0.6,,38,0.32,3折 限3份
975890765127073,绝味烤鱼、烧烤,热销,烤土豆,466174198,8146,2.0,0.6,采用高端锡纸包装，会有几毛餐盒费，谢谢,39,0.22,3折 限3份
975890765127073,绝味烤鱼、烧烤,热销,掌中宝,1207026998,5992,4.0,2.33,,20,0.2,5.82折 限10份
975890765127073,绝味烤鱼、烧烤,热销,烤鸡爪,1207066519,5600,5.5,3.85,私家秘制鸡爪，口感一流,17,0.2,7折 限10份
975890765127073,绝味烤鱼、烧烤,热销,烤花菜,466173198,5137,2.0,0.6,采用高端锡纸包装。会收几毛餐盒费。谢谢理解,15,0.22,3折 限3份
975890765127073,绝味烤鱼、烧烤,折扣,一口玉米(10串),1509972713,289,15.0,6.75,,1,0.0,4.5折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,一口牛肚(20串,1222968692,904,25.0,12.48,,10,0.2,4.99折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,一口鱿鱼【20串,1140624689,1758,30.0,13.5,就是一口而已。嫌贵勿拍，谢谢,13,0.2,4.5折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,一口鸭肠串(30串,1217233458,2083,20.0,8.9,,12,0.2,4.45折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,一口豆干（10串,1298366601,1269,12.0,5.99,,10,0.2,4.99折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,猪软骨（10串,1207065440,497,15.5,10.54,,1,0.1,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,一口肉串（20,1207065933,4164,14.0,9.8,采用高端锡纸包装，会有几毛包装费用,19,0.3,7折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,阿尔泰烤羊排（6个排,1426411578,30,200.0,100.0,食材贵。嫌贵勿拍谢谢,0,2.0,5折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,阿尔泰烤羊排（3个排,1426530449,211,100.0,50.0,食材贵。嫌贵勿拍谢谢,1,2.0,5折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,香叶鸭头,1044698293,378,38.0,23.94,,7,1.0,6.3折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤羊排串(1串,1262794877,824,20.0,8.88,食材贵，一串就几个，嫌贵勿拍，谢谢,10,0.1,4.44折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,金针菇,466174193,12559,2.0,0.6,,59,0.22,3折 限3份
975890765127073,绝味烤鱼、烧烤,折扣,四季豆,466174190,12064,2.0,0.6,采用高端锡纸包装。会收几毛餐盒费。谢谢理解,30,0.4,3折 限3份
975890765127073,绝味烤鱼、烧烤,折扣,烤花菜,466173198,5137,2.0,0.6,采用高端锡纸包装。会收几毛餐盒费。谢谢理解,15,0.22,3折 限3份
975890765127073,绝味烤鱼、烧烤,折扣,烤土豆,466174198,8146,2.0,0.6,采用高端锡纸包装，会有几毛餐盒费，谢谢,38,0.22,3折 限3份
975890765127073,绝味烤鱼、烧烤,折扣,黄瓜,466173207,9161,2.0,0.6,,38,0.32,3折 限3份
975890765127073,绝味烤鱼、烧烤,折扣,招牌烤鱼(3-8人),1478152177,287,115.0,80.5,盘子丢失严重，自起收20押金，回收时再退还。谢谢理解,1,2.0,7折
975890765127073,绝味烤鱼、烧烤,折扣,烤尖椒,1207065097,1538,2.5,1.26,,4,0.1,5.04折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤芋头,1207027882,2189,3.0,1.65,,5,0.0,5.5折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,碳烤扁食,1207065566,1031,2.5,1.3,,4,0.0,5.2折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,凉拌空心菜,466173205,607,10.0,6.4,,2,0.5,6.4折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,满50赠饮料(实付金额50起才有送。烤鱼没送哦),1509212086,147,0.5,0.01,实付金额满50。请拍一下，要不没送哦,0,0.0,0.2折 限1份
975890765127073,绝味烤鱼、烧烤,折扣,秘制烤茄子,1207064775,3590,7.0,4.76,,23,0.3,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,玉米,1207064832,2148,7.0,4.83,,11,0.3,6.9折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤牛肉串,1207025601,12910,3.5,2.35,,52,0.2,6.71折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤翅中,1207027761,3528,7.5,5.55,,22,0.1,7.4折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,弹力串,1207066949,335,3.5,2.03,,0,0.1,5.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,面巾,1207027956,1191,3.5,2.1,,2,0.1,6折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,肉干,1207066747,261,3.0,1.8,,2,0.0,6折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤年糕,1207026876,3984,2.5,1.2,,21,0.1,4.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤鸡爪,1207066519,5600,5.5,3.85,私家秘制鸡爪，口感一流,17,0.2,7折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,蟹肉排,1207027424,1403,2.5,1.35,,5,0.1,5.4折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,掌中宝,1207026998,5992,4.0,2.33,,19,0.2,5.82折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤鸡肉,1207027271,417,3.5,2.09,,4,0.0,5.97折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤五花肉,1207027121,15112,4.0,2.6,采用高端锡纸包装，会有几毛包装费用,55,0.2,6.5折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,猪小肠,1207066188,131,3.5,2.09,,1,0.0,5.97折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,鸭健,1207027861,575,3.5,1.95,,2,0.1,5.57折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤千叶豆腐,1207028047,2991,3.0,1.56,,12,0.1,5.2折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤鸭头,1207025522,642,8.0,5.44,,11,0.1,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤排骨串,1207065674,257,4.5,2.7,,1,0.0,6折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,碳烤猪蹄,1207026126,376,20.5,15.17,,2,0.1,7.4折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤多春鱼,1207026970,1607,4.0,2.4,,4,0.0,6折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,锡纸金针菇,1207025962,599,12.5,8.5,,7,0.5,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤田鸡,1207026302,153,15.5,10.54,,1,0.1,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,炸扁食,1207066403,436,10.5,6.72,,3,0.1,6.4折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,羊肉串（串,1043849147,3443,4.0,2.72,,19,0.2,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,翅根,1207027732,235,6.5,4.42,,1,0.1,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,牛邦斤,1207066032,1062,4.5,2.29,,4,0.1,5.09折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤鱿鱼,1207066661,1230,6.5,4.42,,10,0.1,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,双汇火腿肠,1207026057,2418,2.5,1.58,,5,0.1,6.32折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,烤鱿鱼丝,1207028215,1860,4.5,3.15,,8,0.0,7折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,骨肉相连,1207028089,1951,3.5,2.1,,16,0.2,6折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,私家秘制烤鸡翅,1207065499,13704,7.5,5.25,采用高端锡纸包装，会有几毛包装费用,87,0.2,7折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,香菇丸,1207027640,750,4.0,2.32,,4,0.0,5.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,一口肠,1207027685,361,3.5,2.1,,0,0.1,6折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,鱿鱼干（配芥末,1207066821,757,7.5,5.1,,0,0.0,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,折扣,可乐,466174293,402,5.0,4.25,,1,0.1,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,折扣,大可乐,1287274726,579,10.0,8.5,,6,0.2,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,折扣,百威330ml,466174284,1581,8.0,6.8,,8,0.2,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,折扣,铁喜力500ml,466173267,830,12.0,10.2,,1,0.0,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,折扣,铁青岛,466174288,804,7.0,5.95,,2,0.1,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,折扣,加多宝,466174289,832,5.0,4.25,,7,0.0,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,折扣,雪碧,466174291,633,5.0,4.25,,4,0.1,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,口味选择,口味不一，请勿差评。有问题请联系商家。感恩。,1458644544,38,0.0,0.0,口味不一，有问题请联系商家，请勿差评。感恩。,3,0.0,
975890765127073,绝味烤鱼、烧烤,口味选择,中辣,1396715399,2792,0.0,0.0,,15,0.0,
975890765127073,绝味烤鱼、烧烤,口味选择,超辣,1396715448,904,0.0,0.0,,5,0.0,
975890765127073,绝味烤鱼、烧烤,饮料啤酒类,百威330ml,466174284,1581,8.0,6.8,,8,0.2,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,饮料啤酒类,铁喜力500ml,466173267,830,12.0,10.2,,1,0.0,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,饮料啤酒类,加多宝,466174289,832,5.0,4.25,,7,0.0,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,饮料啤酒类,雪碧,466174291,633,5.0,4.25,,4,0.1,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,饮料啤酒类,可乐,466174293,402,5.0,4.25,,1,0.1,8.5折 限5份
975890765127073,绝味烤鱼、烧烤,下单前请看看,遇到送餐态度差，联系商家，奖励20,1032833076,86,0.0,0.0,,1,0.0,
975890765127073,绝味烤鱼、烧烤,烤鱼要碗筷请拍下,碗筷,466174172,1204,0.2,0.2,,1,0.0,
975890765127073,绝味烤鱼、烧烤,米饭,米饭,466173181,785,2.5,2.5,,1,0.0,
975890765127073,绝味烤鱼、烧烤,麻辣小龙虾,满50赠饮料(实付金额50起才有送。烤鱼没送哦),1509212086,147,0.5,0.01,实付金额满50。请拍一下，要不没送哦,0,0.0,0.2折 限1份
975890765127073,绝味烤鱼、烧烤,烧烤加甜或者不加甜,本店烧烤以甜为主。不吃甜的，下单时备注一下，谢谢大家,1061851858,114,0.0,0.0,,0,0.0,
975890765127073,绝味烤鱼、烧烤,共享红包,美团外卖红包合集,844618336,15,0.0,0.0,,0,0.0,
975890765127073,绝味烤鱼、烧烤,招牌烤鱼,烤鱼请往折扣商品里面点，优惠多多哦,784495691,19,0.0,0.0,,0,0.0,
975890765127073,绝味烤鱼、烧烤,招牌烤鱼,烤鱼要碗筷请拍不然没配谢谢,466174182,209,0.2,0.2,,0,0.0,
975890765127073,绝味烤鱼、烧烤,烧烤素类,一口玉米(10串),1509972713,289,15.0,6.75,,1,0.0,4.5折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤素类,烤尖椒,1207065097,1538,2.5,1.26,,4,0.1,5.04折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤素类,玉米,1207064832,2148,7.0,4.83,,12,0.3,6.9折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤素类,秘制烤茄子,1207064775,3590,7.0,4.76,,23,0.3,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤素类,全场4折起请前往折扣商品里面点。感恩回馈。,1031701357,8,0.01,0.01,,0,0.0,
975890765127073,绝味烤鱼、烧烤,烧烤素类,四季豆,466174190,12064,2.0,0.6,采用高端锡纸包装。会收几毛餐盒费。谢谢理解,30,0.4,3折 限3份
975890765127073,绝味烤鱼、烧烤,烧烤素类,金针菇,466174193,12559,2.0,0.6,,58,0.22,3折 限3份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,阿尔泰烤羊排（6个排,1426411578,30,200.0,100.0,食材贵。嫌贵勿拍谢谢,0,2.0,5折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,阿尔泰烤羊排（3个排,1426530449,211,100.0,50.0,食材贵。嫌贵勿拍谢谢,1,2.0,5折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,一口豆干（10串,1298366601,1269,12.0,5.99,,10,0.2,4.99折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,烤羊排串(1串,1262794877,824,20.0,8.88,食材贵，一串就几个，嫌贵勿拍，谢谢,10,0.1,4.44折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,一口鸭肠串(30串,1217233458,2083,20.0,8.9,,12,0.2,4.45折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,骨肉相连,1207028089,1951,3.5,2.1,,15,0.2,6折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,烤千叶豆腐,1207028047,2991,3.0,1.56,,12,0.1,5.2折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,面巾,1207027956,1191,3.5,2.1,,2,0.1,6折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,烤芋头,1207027882,2189,3.0,1.65,,5,0.0,5.5折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,一口肠,1207027685,361,3.5,2.1,,0,0.1,6折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,蟹肉排,1207027424,1403,2.5,1.35,,5,0.1,5.4折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,弹力串,1207066949,335,3.5,2.03,,0,0.1,5.8折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,烤鸡肉,1207027271,417,3.5,2.09,,4,0.0,5.97折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,鱿鱼干（配芥末,1207066821,757,7.5,5.1,,0,0.0,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,烤五花肉,1207027121,15112,4.0,2.6,采用高端锡纸包装，会有几毛包装费用,57,0.2,6.5折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,烤鱿鱼,1207066661,1230,6.5,4.42,,8,0.1,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,掌中宝,1207026998,5992,4.0,2.33,,20,0.2,5.82折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,炸扁食,1207066403,436,10.5,6.72,,2,0.1,6.4折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,猪小肠,1207066188,131,3.5,2.09,,1,0.0,5.97折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,牛邦斤,1207066032,1062,4.5,2.29,,4,0.1,5.09折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,一口肉串（20,1207065933,4164,14.0,9.8,采用高端锡纸包装，会有几毛包装费用,19,0.3,7折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,碳烤猪蹄,1207026126,376,20.5,15.17,,2,0.1,7.4折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,烤排骨串,1207065674,257,4.5,2.7,,1,0.0,6折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,锡纸金针菇,1207025962,599,12.5,8.5,,7,0.5,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,碳烤扁食,1207065566,1031,2.5,1.3,,4,0.0,5.2折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,羊肉串（串,1043849147,3443,4.0,2.72,,19,0.2,6.8折 限10份
975890765127073,绝味烤鱼、烧烤,烧烤荤类,全场4折起请前往折扣商品里面点。感恩回馈。,1032941476,8,0.1,0.1,,2,0.0,
975890765127073,绝味烤鱼、烧烤,啤酒饮料类,需要酒水，在折扣商品里面点。谢谢,712298773,38,0.1,0.1,,2,0.0,
